listing_id,city,property_type,price,sqft,date_listed,agent_id,latitude,longitude
l00001,new york,apartment,1655144.006669635,2753.009121237,2023-05-06,a0015,33.9652080059,-69.8615892795
l00002,los angeles,apartment,1519141.0026169808,4966.9881928135,2023-02-14,a0038,42.5478920594,-90.2778602519
l00003,houston,apartment,162488.9975420714,1267.0039591344,2023-04-22,a0015,28.7323266553,-115.9529818783
l00004,phoenix,apartment,1277015.9840670894,2128.0144287921,2024-01-02,a0042,26.4039382837,-74.7714904573
l00005,phoenix,townhouse,562297.0068077513,4178.9974210875,2023-10-29,a0018,39.4252516293,-83.9178782667
l00006,new york,house,1564104.0078713011,3961.992615551,2023-06-24,a0018,25.4877926032,-68.7571139192
l00007,los angeles,house,1701163.003815294,3257.0150616858,2023-02-22,a0006,44.9691124588,-112.6784942679
l00008,houston,apartment,852834.0147462517,3316.9937214813,2023-11-06,a0017,29.3549128014,-114.3646813823
l00009,new york,townhouse,1224550.9990439962,1522.0077799342,2024-05-13,a0025,32.3025694404,-94.5569819185
l00010,new york,condo,1839386.9924549507,3462.0226393851,2023-10-23,a0013,35.3703968658,-108.1193181126
l00011,new york,apartment,1486768.99430001,2366.0004685872,2024-01-31,a0019,39.6667837428,-116.9028968424
l00012,new york,house,1917147.0045034816,1326.9966016133,2023-07-14,a0018,32.0067048962,-103.728939014
l00013,houston,condo,441109.9971346703,3532.0009552261,2023-07-01,a0014,35.9403141234,-79.4629622952
l00014,chicago,apartment,1377440.009039592,1900.9981292033,2023-10-01,a0047,29.7726767961,-95.1627789955
l00015,los angeles,house,1069428.9949294312,3607.9958386703,2023-05-19,a0041,39.2149977097,-122.2951451057
l00016,phoenix,house,1535739.9878467089,3155.9855295615,2024-03-07,a0050,39.5606135828,-115.1161514064
l00017,new york,house,1823443.991926888,761.9910429221,2024-02-17,a0021,26.5653340022,-69.9599783535
l00018,houston,condo,238806.9991160855,2228.0055864515,2024-04-12,a0037,48.1698905658,-78.1024236235
l00019,chicago,house,1474553.9971662802,4588.9969614987,2023-07-22,a0042,32.3174646036,-119.3352010399
l00020,houston,house,655493.0037820246,1642.993953628,2023-05-07,a0048,41.4292958213,-99.4574502664
l00021,phoenix,condo,1666600.9895170184,4008.9978969856,2024-04-04,a0038,27.9290898341,-96.2830279906
