attribute_id,listing_id,bedrooms,bathrooms,floor_number,total_floors,year_built,is_rented,tenant_count,furnishing_status,metro_distance_km,parking_available,power_backup
1,l00001,5,3,9,9,2001,True,4,furnished,7.26,False,True
2,l00002,2,2,19,29,2020,False,0,unfurnished,4.84,True,False
3,l00003,2,3,8,26,2007,True,4,semi-furnished,4.92,False,False
5,l00005,2,2,15,16,2008,True,1,semi-furnished,7.9,False,False
6,l00006,1,3,9,10,2000,False,0,unfurnished,7.25,True,False
7,l00007,4,3,19,37,2012,False,0,unfurnished,7.69,False,True
8,l00008,5,1,5,20,2023,True,2,unfurnished,3.02,False,True
10,l00010,2,1,10,17,2012,True,3,unfurnished,5.37,False,False
11,l00011,5,4,11,14,2021,True,4,furnished,2.44,False,True
13,l00013,3,1,6,15,2007,False,0,semi-furnished,6.2,False,False
14,l00014,1,2,18,26,2002,False,0,unfurnished,3.26,False,True
15,l00015,2,4,19,20,2022,True,3,semi-furnished,3.76,True,False
17,l00017,1,1,25,28,2012,True,1,unfurnished,3.31,False,False
18,l00018,4,3,7,25,2008,True,3,semi-furnished,3.4,False,False
19,l00019,1,1,25,35,1999,False,0,unfurnished,1.57,False,True
20,l00020,4,1,6,16,2015,True,1,semi-furnished,0.45,False,False
21,l00021,1,4,17,20,2014,True,0,furnished,5.29,False,False
22,l00022,1,3,0,36,2014,False,0,unfurnished,7.07,True,False
23,l00023,2,3,16,27,1998,False,0,furnished,5.57,False,False
24,l00024,4,4,11,38,1996,True,4,unfurnished,4.76,False,True
25,l00025,2,3,12,34,1997,True,4,unfurnished,1.14,False,False
26,l00026,2,2,15,28,2017,False,0,semi-furnished,1.82,True,True
27,l00027,3,1,2,31,2013,False,0,furnished,3.88,False,True
28,l00028,3,2,17,25,2015,True,3,semi-furnished,1.87,True,True
29,l00029,3,4,11,37,2010,True,2,furnished,2.2,True,False
30,l00030,5,2,4,31,2022,True,4,unfurnished,7.87,True,False
31,l00031,3,4,0,40,2004,False,0,semi-furnished,4.71,True,False
32,l00032,3,1,2,6,2001,False,0,furnished,4.17,False,False
33,l00033,2,3,10,34,2013,True,2,unfurnished,2.31,False,True
35,l00035,2,1,11,16,1999,False,0,furnished,1.71,False,False
36,l00036,1,4,9,30,2017,False,0,semi-furnished,5.06,False,True
37,l00037,3,3,5,34,1995,False,0,furnished,0.32,True,False
40,l00040,4,1,10,23,1995,False,0,semi-furnished,5.07,True,False
41,l00041,4,3,2,30,2015,True,2,semi-furnished,3.74,True,True
44,l00044,4,1,5,33,1999,True,1,semi-furnished,4.15,True,False
45,l00045,1,3,14,38,2002,False,0,furnished,5.41,True,False
46,l00046,4,1,3,5,2004,False,0,unfurnished,2.25,True,False
47,l00047,1,1,25,34,2020,False,0,semi-furnished,6.48,True,True
48,l00048,3,1,24,27,2022,True,0,semi-furnished,4.48,True,True
51,l00051,2,1,23,25,2000,False,0,unfurnished,7.03,False,True
52,l00052,5,3,4,17,2021,True,0,unfurnished,5.19,True,False
53,l00053,4,3,2,8,2015,True,1,unfurnished,1.52,False,False
54,l00054,4,3,16,37,2001,True,4,semi-furnished,7.95,True,False
55,l00055,5,3,1,21,1999,False,0,unfurnished,4.04,True,True
57,l00057,5,2,4,38,2010,False,0,furnished,0.76,False,False
58,l00058,3,1,8,35,2009,True,0,unfurnished,0.96,True,False
59,l00059,3,1,16,40,1996,False,0,furnished,0.72,True,True
60,l00060,5,1,16,36,2009,False,0,furnished,6.71,False,False
61,l00061,3,2,25,26,1995,True,1,unfurnished,1.25,False,False
62,l00062,5,1,15,27,2020,True,1,furnished,6.42,False,True
63,l00063,4,2,1,15,2006,False,0,semi-furnished,5.18,True,False
64,l00064,1,4,5,40,1997,True,0,furnished,3.18,False,True
65,l00065,3,4,18,29,2021,False,0,furnished,4.6,True,True
66,l00066,2,4,1,20,1998,True,2,furnished,4.43,True,True
67,l00067,3,4,5,33,1997,False,0,semi-furnished,5.08,False,False
68,l00068,4,3,0,8,2004,True,3,unfurnished,4.58,True,True
69,l00069,1,1,20,28,1996,False,0,unfurnished,5.7,False,True
70,l00070,4,3,1,30,1995,True,4,semi-furnished,4.75,True,False
71,l00071,1,3,0,15,2019,True,3,semi-furnished,6.56,True,True
73,l00073,1,3,19,34,1999,False,0,unfurnished,6.78,True,False
75,l00075,1,3,10,29,1995,False,0,semi-furnished,5.01,True,False
76,l00076,4,2,13,18,2015,True,2,unfurnished,7.82,True,True
77,l00077,2,1,21,33,1998,True,3,semi-furnished,4.88,True,False
78,l00078,2,2,5,12,1995,False,0,unfurnished,5.04,True,True
79,l00079,5,3,6,13,2022,True,4,semi-furnished,7.69,False,False
80,l00080,5,1,6,28,2022,True,1,semi-furnished,3.65,True,True
81,l00081,4,2,8,14,2008,True,1,unfurnished,4.74,False,False
82,l00082,1,1,10,14,2007,False,0,furnished,3.86,True,True
83,l00083,4,2,3,17,2004,True,0,furnished,3.21,True,False
85,l00085,5,1,9,19,2018,True,1,semi-furnished,5.61,False,False
87,l00087,3,2,13,31,2014,True,1,unfurnished,2.93,True,False
89,l00089,3,2,5,31,2016,True,4,furnished,7.3,True,False
90,l00090,5,3,14,19,2001,True,4,furnished,3.58,False,False
91,l00091,1,1,3,20,2005,True,3,furnished,6.77,True,False
92,l00092,2,2,14,23,1998,False,0,furnished,3.49,True,True
93,l00093,3,2,3,21,2007,False,0,unfurnished,4.2,True,False
94,l00094,1,4,19,36,1996,True,1,unfurnished,3.38,False,False
95,l00095,4,4,23,40,1999,False,0,semi-furnished,5.52,False,False
97,l00097,3,4,7,23,2006,True,4,unfurnished,7.62,False,True
98,l00098,4,4,9,23,2003,True,4,unfurnished,4.14,True,False
99,l00099,5,3,0,36,2010,False,0,semi-furnished,7.2,False,False
100,l00100,3,4,17,36,2013,True,3,semi-furnished,7.9,False,False
102,l00102,5,3,11,24,2013,True,2,semi-furnished,3.25,True,False
103,l00103,1,4,14,38,2018,True,4,unfurnished,3.07,False,True
104,l00104,1,4,23,38,2006,True,1,furnished,3.56,True,False
105,l00105,3,2,3,21,2020,True,0,furnished,7.95,False,True
106,l00106,3,2,12,35,2001,True,4,semi-furnished,3.38,True,False
107,l00107,5,2,1,24,2004,True,4,semi-furnished,5.56,True,False
108,l00108,1,1,6,18,2023,True,3,semi-furnished,0.81,False,False
109,l00109,2,2,23,25,2023,True,3,unfurnished,7.51,True,True
110,l00110,1,4,0,36,2004,True,2,furnished,2.13,True,False
114,l00114,1,3,1,33,2008,False,0,unfurnished,5.66,False,False
116,l00116,2,1,25,29,2000,False,0,furnished,1.7,False,True
118,l00118,3,3,12,16,2000,True,3,unfurnished,3.41,False,False
119,l00119,3,2,25,36,2023,True,4,semi-furnished,7.77,False,False
120,l00120,5,2,22,40,2023,True,0,furnished,3.24,False,True
122,l00122,2,2,16,27,2005,False,0,semi-furnished,5.69,True,True
123,l00123,5,3,8,36,2008,False,0,unfurnished,4.52,True,True
124,l00124,1,2,9,22,2000,True,1,furnished,2.72,False,True
125,l00125,3,2,15,29,1999,False,0,unfurnished,5.75,True,False
126,l00126,3,2,6,23,2007,False,0,furnished,2.53,False,True
127,l00127,5,1,10,20,2001,False,0,semi-furnished,7.95,False,True
128,l00128,1,3,11,23,2001,False,0,furnished,2.48,True,True
129,l00129,2,2,23,32,2012,True,3,semi-furnished,6.51,True,True
130,l00130,1,1,15,22,2002,False,0,furnished,1.15,False,False
131,l00131,5,3,8,8,2022,False,0,unfurnished,1.31,False,False
132,l00132,1,4,14,32,2022,True,3,unfurnished,0.96,False,True
133,l00133,5,1,5,29,2006,True,3,unfurnished,5.38,True,True
