listing_id,sale_price,date_sold,days_on_market
l01179,925580.0,unknown,65.01
l00866,105416.0,unknown,38.0
l00102,1825184.0,unknown,22.99
l00440,1932085.01,unknown,72.01
l00059,776585.99,unknown,116.0
l01121,1252918.01,unknown,60.0
l00324,1537235.0,unknown,6.01
l00975,308983.02,unknown,41.0
l00412,184809.0,unknown,106.99
l00856,1220847.0,unknown,62.01
l00821,1895335.0,unknown,53.01
l00045,480963.0,unknown,90.99
l00050,655224.99,unknown,45.0
l00850,1605736.0,unknown,71.99
l00241,899304.0,unknown,92.02
l00171,814052.0,unknown,9.99
l00524,1029698.0,unknown,17.02
l00766,1341278.98,unknown,73.0
l00839,1686756.01,unknown,85.99
l00424,1521562.99,unknown,50.0
l00381,357252.02,unknown,113.01
l00610,1635927.0,unknown,60.0
l00677,654602.0,unknown,83.0
l00345,1548930.0,unknown,88.0
l00110,1644740.01,unknown,114.0
l00278,1063147.0,unknown,39.01
l00678,979898.01,unknown,46.99
l00571,1174725.0,unknown,39.0
l00359,1384521.0,unknown,39.0
l00599,1782209.0,unknown,107.0
l00391,414127.0,unknown,17.0
l00894,1222137.98,unknown,36.98
l00693,1516083.0,unknown,88.02
l00728,1346678.01,unknown,78.99
l00363,1460653.0,unknown,55.01
l00597,1194547.01,unknown,63.99
l00428,1678297.0,unknown,103.01
l00071,985345.0,unknown,91.0
l00322,1643866.01,unknown,99.99
l00653,1067720.0,unknown,35.01
l01066,429431.01,unknown,98.0
l00108,975994.0,unknown,91.01
l01109,1587449.98,unknown,79.99
l00356,1226126.0,unknown,103.01
l00951,853222.0,unknown,28.99
l00343,151293.0,unknown,71.01
l00355,1668996.02,unknown,48.01
l00024,1309511.0,unknown,91.02
l00044,902583.98,unknown,92.99
l00244,1806308.01,unknown,28.01
l00738,800840.0,unknown,44.99
l01136,1659988.0,unknown,75.0
l00368,1705012.0,unknown,6.0
l00164,1345214.99,unknown,91.01
l01116,193622.01,unknown,5.98
l00333,1199060.0,unknown,111.02
l00989,1827054.99,unknown,12.99
l01173,593293.0,unknown,6.0
l01002,1715468.99,unknown,57.0
l00378,192965.0,unknown,17.0
l00310,806273.0,unknown,71.98
l00156,444559.0,unknown,17.99
l00211,1864353.0,unknown,91.99
l00087,1508971.0,unknown,62.01
l00169,801199.98,unknown,49.01
l00995,475304.99,unknown,33.01
l00052,1651119.99,unknown,97.0
l00439,913360.99,unknown,41.0
l00550,1124096.99,unknown,36.99
l00491,1994537.0,unknown,29.01
l00426,369765.0,unknown,9.0
l00136,292513.98,unknown,7.99
l01192,105934.0,unknown,83.99
l00055,967810.0,unknown,16.0
l00079,1727530.99,unknown,11.98
l00431,1349176.0,unknown,81.0
l00185,1015962.0,unknown,88.99
l00057,665657.0,unknown,119.0
l00943,411120.01,unknown,111.0
l00851,728655.99,unknown,32.0
l01164,521267.01,unknown,80.99
l00219,357684.0,unknown,86.0
l00845,1740334.98,unknown,20.01
l00114,893787.0,unknown,95.01
l00549,1116438.01,unknown,19.99
l01019,754704.02,unknown,16.02
l01073,694464.01,unknown,114.01
l00175,729635.01,unknown,82.02
l01023,1209692.0,unknown,21.01
l00616,1874609.99,unknown,53.0
l00514,1001294.99,unknown,89.01
l00462,1072557.0,unknown,102.01
l00287,1769308.0,unknown,119.97
l00382,1664177.0,unknown,87.02
l01008,1327693.0,unknown,76.99
l00671,472318.01,unknown,107.0
l00535,242735.0,unknown,28.0
l00910,992410.01,unknown,119.0
l00293,1524750.01,unknown,18.99
l00124,747250.01,unknown,93.99
l00583,123388.99,unknown,28.0
l00141,859962.0,unknown,36.99
l00736,1485314.99,unknown,42.0
l00082,862578.98,unknown,63.99
l00882,1416321.0,unknown,88.99
l00740,688127.98,unknown,14.01
l01102,1597152.02,unknown,86.01
l00909,1182776.99,unknown,63.02
l01167,166381.0,unknown,40.01
l00937,1002849.01,unknown,103.0
l00372,476315.0,unknown,59.0
l00890,1574193.0,unknown,92.99
l00157,707140.98,unknown,120.02
l00992,1891852.01,unknown,90.0
l00622,1298622.01,unknown,103.0
l01038,2077611.01,unknown,103.0
l00245,947140.01,unknown,46.02
l00159,989284.02,unknown,37.01
l00746,1962462.99,unknown,25.01
l00193,605540.0,unknown,104.0
l00534,846426.0,unknown,14.0
l00904,1908657.97,unknown,40.01
l01004,897672.0,unknown,103.99
l01070,1228330.0,unknown,12.0
l00414,827069.0,unknown,53.0
l01187,1453092.0,unknown,54.0
l00328,171683.99,unknown,46.99
l00129,1655761.99,unknown,12.01
l00695,1022484.99,unknown,38.02
l00631,1062615.01,unknown,109.0
l00275,522790.99,unknown,37.99
l01148,710771.0,unknown,26.99
l00309,582252.0,unknown,61.0
l00234,348062.99,unknown,13.0
l01048,1678874.0,unknown,67.01
l00623,901473.0,unknown,29.99
l00644,149222.01,unknown,83.01
l00479,1429667.01,unknown,55.0
l00472,1743988.0,unknown,27.0
l00926,1781751.99,unknown,86.99
l01098,1916961.0,unknown,67.0
l00627,544434.99,unknown,17.99
l00395,1320411.99,unknown,23.01
l00637,1909230.01,unknown,74.01
l00768,1320512.01,unknown,102.99
l00533,753147.99,unknown,60.0
l00718,444741.01,unknown,31.99
l00667,875307.01,unknown,82.99
l00598,1887558.01,unknown,87.0
l00482,310349.0,unknown,18.01
l01103,934718.99,unknown,61.0
l00315,576701.0,unknown,95.99
l00729,2038929.99,unknown,37.99
l00210,489310.01,unknown,17.99
l00934,1641400.98,unknown,8.99
l00434,1229895.0,unknown,14.0
l00329,674494.99,unknown,13.98
l00261,807364.99,unknown,78.0
l01117,421380.01,unknown,98.0
l00307,1842946.01,unknown,37.0
l01067,1443635.99,unknown,104.02
l00928,1278517.97,unknown,62.0
l01025,1143381.98,unknown,7.0
l00271,970384.01,unknown,118.99
l00291,1334799.01,unknown,68.01
l00813,1829814.0,unknown,24.0
l00097,1436356.0,unknown,88.0
l00888,531678.01,unknown,86.0
l00819,157642.0,unknown,4.99
l00032,291630.01,unknown,9.0
l00763,1531834.02,unknown,89.98
l00954,900777.0,unknown,54.01
l00320,902438.0,unknown,38.98
l00299,1608630.0,unknown,24.0
l00200,1935452.99,unknown,93.99
l00561,1035134.99,unknown,47.01
l00179,1017871.01,unknown,120.01
l01132,1575397.01,unknown,54.99
l00089,938070.0,unknown,78.02
l00788,1022642.99,unknown,5.01
l00725,1825940.99,unknown,70.01
l00827,1794845.01,unknown,95.0
l00209,1636373.01,unknown,103.0
l01040,1274511.01,unknown,67.0
l00297,1500944.02,unknown,65.99
l00998,889841.99,unknown,60.01
l00498,1368622.0,unknown,56.01
l00835,298170.01,unknown,113.01
l00430,1250032.98,unknown,98.0
l00507,988527.99,unknown,104.01
l00831,189686.99,unknown,107.98
l00694,901277.01,unknown,104.98
l00011,1494574.0,unknown,13.0
l00848,1048188.0,unknown,74.01
l00463,524758.0,unknown,33.01
l00199,1096483.01,unknown,5.0
l00060,247840.0,unknown,54.0
l00907,1705558.0,unknown,93.0
l00997,1110622.99,unknown,108.98
l00276,1657767.99,unknown,103.98
l00809,1653101.01,unknown,66.0
l00908,612103.99,unknown,19.99
l00658,1339818.01,unknown,77.0
l00957,1745369.99,unknown,73.0
l00886,1064984.99,unknown,49.99
l00221,1052529.01,unknown,46.99
l00789,1775312.02,unknown,92.01
l00712,790458.0,unknown,43.0
l00714,678778.0,unknown,56.0
l01113,745538.99,unknown,12.02
l01191,1951892.98,unknown,85.0
l00790,1792898.01,unknown,86.99
l00416,491583.99,unknown,16.0
l00899,595973.01,unknown,51.0
l00935,1943763.99,unknown,73.0
l00266,241154.0,unknown,114.0
l00632,1754562.99,unknown,47.98
l00248,1237706.98,unknown,15.0
l00683,472388.0,unknown,112.01
l00559,973105.0,unknown,62.99
l01137,1105992.99,unknown,102.01
l00968,1953955.0,unknown,103.0
l01005,1650801.01,unknown,41.98
l00985,730135.98,unknown,87.01
l00295,496497.02,unknown,30.0
l00520,1700492.0,unknown,26.99
l00771,1446559.02,unknown,75.01
l00084,1212612.0,unknown,9.99
l00232,330327.0,unknown,54.0
l00621,278003.99,unknown,89.0
l00334,1505769.0,unknown,29.02
l00130,1420030.02,unknown,43.01
l01012,803664.0,unknown,94.0
l00645,283138.0,unknown,54.01
l00974,1276780.99,unknown,118.99
l00383,1167852.0,unknown,18.0
l00868,1120560.01,unknown,85.0
l00543,1545888.01,unknown,93.0
l01194,940777.0,unknown,49.99
l00875,388480.99,unknown,67.0
l00332,1591987.01,unknown,15.01
l00410,1397144.01,unknown,117.99
l00077,533146.99,unknown,84.99
l00869,1275057.01,unknown,61.0
l00139,1480714.99,unknown,99.01
l00544,1362664.0,unknown,28.99
l00674,1739068.02,unknown,22.02
l00921,1592407.99,unknown,8.98
l00064,650221.01,unknown,29.01
l00142,351539.01,unknown,7.98
l00717,1541842.0,unknown,97.01
l00377,1925032.01,unknown,80.01
l00364,1427349.01,unknown,34.99
l00140,1043592.99,unknown,66.99
l00885,913009.99,unknown,53.99
l01042,690784.99,unknown,13.0
l00225,1587525.0,unknown,106.01
l00515,755635.01,unknown,73.99
l00267,135290.01,unknown,87.0
l01170,1842848.01,unknown,44.0
l00487,217077.0,unknown,67.99
l00353,376622.0,unknown,73.02
l01006,502063.0,unknown,111.0
l00618,1864819.99,unknown,108.0
l00668,784914.01,unknown,61.99
l00775,1848662.0,unknown,7.02
l00554,434374.0,unknown,9.01
l00576,313505.02,unknown,48.0
l00915,1938228.99,unknown,12.0
l00466,733038.0,unknown,48.0
l00591,1014982.99,unknown,105.0
l00765,1541585.0,unknown,96.99
l00635,1100358.0,unknown,9.99
l00838,585877.01,unknown,56.01
l00290,866155.99,unknown,19.99
l00040,669466.99,unknown,32.0
l00031,1917126.0,unknown,107.99
l00243,957646.02,unknown,88.0
l00429,1155367.99,unknown,89.98
l00137,1550767.0,unknown,71.01
l01101,233149.0,unknown,63.01
l00865,1329192.0,unknown,91.02
l00004,1215040.98,unknown,115.99
l00833,249784.02,unknown,115.99
l00603,270835.99,unknown,73.0
l01034,1209998.99,unknown,24.0
l00655,155388.01,unknown,99.0
l00844,1836518.0,unknown,78.98
l00784,1907588.99,unknown,34.0
l01074,209304.0,unknown,13.99
l00443,1856472.0,unknown,9.01
l01178,790850.02,unknown,98.99
l00436,1723412.99,unknown,23.0
l01169,1572150.0,unknown,67.0
l00101,1761920.99,unknown,88.0
l00773,2001260.0,unknown,7.0
l00495,921049.99,unknown,64.98
l01028,199121.0,unknown,84.0
l00807,1177521.01,unknown,10.0
l01142,1895270.99,unknown,35.99
l00846,284146.99,unknown,94.0
l00987,1855241.01,unknown,87.99
l00228,198352.98,unknown,21.01
l01193,956808.0,unknown,6.0
l00672,1935068.01,unknown,27.0
l00859,350833.99,unknown,85.01
l00925,1417704.0,unknown,11.01
l00067,286681.0,unknown,119.99
l00068,760944.99,unknown,43.98
l00817,1294903.0,unknown,110.0
l00212,1835396.0,unknown,106.01
l00013,441902.01,unknown,17.01
l00494,1263221.0,unknown,63.0
l01165,391775.0,unknown,83.01
l00300,980114.0,unknown,26.01
l00411,1197823.99,unknown,111.0
l00757,720307.01,unknown,79.99
l01075,1555314.98,unknown,13.0
l00696,431413.01,unknown,109.01
l01151,268592.0,unknown,109.01
l00724,163845.99,unknown,18.01
l01016,1308392.0,unknown,19.0
l00528,1819438.0,unknown,68.0
l00600,647112.01,unknown,81.01
l01120,1391266.01,unknown,107.0
l00567,1540035.97,unknown,83.01
l00731,1268178.99,unknown,32.99
l00274,813581.0,unknown,13.01
l00967,1406817.99,unknown,107.0
l00238,1536399.0,unknown,29.99
l00406,1473445.01,unknown,59.0
l00003,162063.01,unknown,47.99
l00007,1625945.02,unknown,108.01
l00312,1088431.0,unknown,111.0
l01091,507682.01,unknown,99.0
l00452,994884.0,unknown,91.0
l00722,2020135.99,unknown,56.0
l00216,1832850.02,unknown,46.0
l01086,1020340.0,unknown,19.99
l00028,1101007.0,unknown,91.99
l01158,107159.99,unknown,78.0
l00362,1405536.0,unknown,74.0
l00823,1606553.0,unknown,22.01
l00781,1408259.99,unknown,46.0
l00629,1588997.99,unknown,112.0
l00454,1489897.99,unknown,106.0
l00739,1173028.98,unknown,32.0
l00536,1814456.99,unknown,102.01
l01050,1683368.99,unknown,10.0
l00399,1568577.0,unknown,80.02
l00257,805796.0,unknown,27.01
l00292,1836808.0,unknown,47.01
l00026,1492923.0,unknown,13.0
l00337,1484234.99,unknown,19.99
l00585,299336.02,unknown,40.0
l00048,439376.99,unknown,23.0
l00319,241206.01,unknown,101.01
l00107,243852.99,unknown,58.01
l00799,1301199.01,unknown,26.01
l00056,1337691.01,unknown,94.01
l00523,607694.0,unknown,52.0
l00214,1671649.01,unknown,74.98
l00121,1107440.0,unknown,25.99
l00918,1816933.01,unknown,61.0
l01068,1498122.99,unknown,36.0
l01118,780217.01,unknown,78.99
l00073,844212.98,unknown,10.0
l00948,1123986.0,unknown,21.99
l00747,1294203.01,unknown,16.99
l00716,1854521.0,unknown,106.02
l00558,1184338.0,unknown,112.99
l01082,1125263.03,unknown,85.0
l01046,675848.02,unknown,83.0
l00553,954150.99,unknown,53.0
l00562,1914625.0,unknown,104.0
l00425,1429802.99,unknown,25.01
l01014,1562916.0,unknown,6.99
l00326,1700277.99,unknown,116.98
l00924,1382575.02,unknown,67.0
l00317,1560165.01,unknown,15.0
l00804,471106.99,unknown,4.99
l01163,351725.01,unknown,4.99
l00529,592784.0,unknown,27.01
l00837,1314644.0,unknown,16.0
l00715,1062656.0,unknown,95.01
l00901,1334501.98,unknown,88.01
l00061,870244.0,unknown,79.99
